partNo,name,type,capacity
10400,Western Digital Caviar Blue,HDD,1024
10401,Samsung 860 Evo,SSD,500
10402,Samsung 860 Evo,SSD,1024
10403,Samsung 970 Evo,SSD,500
10404,Seagate Barracuda,HDD,2048
10405,Samsung 970 Evo,SSD,1024
10406,Crucial P1,SSD,1024
10407,Kingston A400,SSD,240
10408,Intel 660p Series,SSD,1044
10409,Seagate BarraCuda,HDD,1024
10410,Seagate Barracuda,HDD,3072
10411,Western Digital Blue,SSD,500
10412,Seagate Barracuda Compute,HDD,2048
10413,Samsung 970 EVO Plus,SSD,2048
10414,Kingston A400,SSD,120
10415,Samsung 970 Evo Plus,SSD,1024
10416,Samsung 970 Evo Plus,SSD,250
10417,Samsung 970 Evo Plus,SSD,500
10418,Intel 660p Series,SSD,2097
10419,Kingston A400,SSD,480
10420,Sabrent Rocket,SSD,1024
10421,Samsung 860 Evo,SSD,250
10422,Samsung 860 Pro,SSD,4096
10423,Seagate BarraCuda,HDD,4096
10424,Crucial MX500,SSD,1024
10425,Western Digital Blue,SSD,1024
10426,Sabrent Rocket,SSD,512
10427,Intel 660p Series,SSD,512
10428,Samsung 860 Evo,SSD,2048
10429,Crucial MX500,SSD,500
10430,Samsung 970 Pro,SSD,1024
10431,Corsair MP600 Force Series Gen4,SSD,1024
10432,Western Digital Black,HDD,4096
10433,Crucial P1,SSD,500
10434,Western Digital Blue,SSD,500
10435,Samsung 860 Evo,SSD,4096
10436,Seagate Barracuda,HDD,1024
10437,Kingston A400,SSD,240
10438,Corsair MP600 Force Series Gen4,SSD,2048
10439,Samsung 970 Pro,SSD,512
10440,ADATA SU635,SSD,480
10441,ADATA XPG SX8200 Pro,SSD,1024
10442,SanDisk SSD PLUS,SSD,1024
10443,Western Digital Caviar Blue,HDD,500
10444,Samsung 860 QVO,SSD,1024
10445,ADATA SU635,SSD,240
10446,Western Digital Blue,HDD,2048
10447,Team L5 LITE 3D,SSD,1024
10448,Seagate FireCuda,HDD,2048
10449,HP EX920,SSD,1024
10450,Inland Professional,SSD,120
10451,Team GX2,SSD,512
10452,ADATA XPG SX8200 Pro,SSD,512
10453,Corsair MP510,SSD,960
10454,Sabrent Rocket,SSD,256
10455,Western Digital Blue,SSD,1024
10456,Kingston A2000,SSD,500
10457,Western Digital Blue,HDD,4096
10458,Crucial BX500,SSD,240
10459,Western Digital BLACK SERIES,HDD,2048
10460,Team MS30,SSD,512
10461,Kingston A400,SSD,120
10462,Samsung 860 QVO,SSD,2048
10463,ADATA Ultimate SU800,SSD,512
10464,Western Digital Blue,SSD,250
10465,Gigabyte AORUS NVMe Gen4,SSD,2048
10466,HP EX920,SSD,512
10467,Western Digital Caviar Blue,HDD,320
10468,SanDisk SSD PLUS,SSD,240
10469,Western Digital Black NVMe,SSD,1024
10470,Intel DC P3608,SSD,3276
10471,HP EX900,SSD,500
10472,Western Digital Black NVMe,SSD,500
10473,Silicon Power A55,SSD,512
10474,HP EX900,SSD,250
10475,Crucial MX500,SSD,2048
10476,Corsair MP510,SSD,480
10477,ADATA Ultimate SU800,SSD,256
10478,Seagate FireCuda,HDD,2048
10479,Seagate IronWolf NAS,HDD,16384
10480,Seagate Barracuda Compute,HDD,8192
10481,Crucial MX500,SSD,250
10482,Western Digital Blue,SSD,2048
10483,Samsung 860 QVO,SSD,4096
10484,Crucial MX500,SSD,500
10485,Team MS30,SSD,256
10486,TCSunBow X3,SSD,60
10487,Western Digital BLACK SERIES,HDD,1024
10488,Gigabyte AORUS NVMe Gen4,SSD,1024
10489,PNY CS900,SSD,120
10490,Seagate Barracuda,HDD,500
10491,ADATA SU635,SSD,960
10492,ADATA XPG SX6000 Pro,SSD,512
10493,Seagate IronWolf NAS,HDD,6144
10494,Western Digital Red,HDD,4096
10495,Silicon Power A80,SSD,512
10496,ADATA Ultimate SU800,SSD,1024
10497,Crucial MX500,SSD,1024
10498,Corsair MP510,SSD,240
10499,Western Digital Green ,SSD,240
